2020-05-19 14:13:23.795 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.usian.test.FastDFSTest], using SpringBootContextLoader
2020-05-19 14:13:23.806 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.usian.test.FastDFSTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 14:13:24.258 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-05-19 14:13:24.285 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1018bde2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@65b3f4a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f2ff811, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@568ff82, org.springframework.test.context.support.DirtiesContextTestExecutionListener@50caa560, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2a266d09, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5ab9e72c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@186f8716, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1d8bd0de, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@45ca843]
2020-05-19 14:13:27.319 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$21babc89] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 14:13:29.905 [main] INFO  com.usian.test.FastDFSTest - No active profile set, falling back to default profiles: default
2020-05-19 14:13:31.118 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=d8532fd2-7dd4-36ef-b5fb-ebe9bce7e091
2020-05-19 14:13:31.259 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$21babc89] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 14:13:32.273 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 14:13:32.273 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 14:13:32.284 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 14:13:32.284 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 14:13:32.721 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 14:13:38.359 [main] INFO  com.usian.test.FastDFSTest - Started FastDFSTest in 13.97 seconds (JVM running for 15.664)
2020-05-19 14:13:38.579 [Thread-6] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2020-05-19 14:13:38.586 [Thread-6] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application USIAN-ITEM-WEB with eureka with status DOWN
2020-05-19 14:13:38.593 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-19 14:13:38.601 [Thread-6] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Could not unregister MBean [com.github.tobato.fastdfs.conn:name=fdfsConnectionPool,type=FdfsConnectionPool] as said MBean is not registered (perhaps already unregistered by an external process)
2020-05-19 14:19:39.975 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.usian.test.FastDFSTest], using SpringBootContextLoader
2020-05-19 14:19:39.981 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.usian.test.FastDFSTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 14:19:40.262 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-05-19 14:19:40.275 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1018bde2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@65b3f4a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f2ff811, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@568ff82, org.springframework.test.context.support.DirtiesContextTestExecutionListener@50caa560, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2a266d09, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5ab9e72c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@186f8716, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1d8bd0de, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@45ca843]
2020-05-19 14:19:42.704 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$21babc89] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 14:19:44.931 [main] INFO  com.usian.test.FastDFSTest - No active profile set, falling back to default profiles: default
